Sample,Experiment,Batch,Growth.Conditions,Growth.time,Harvest.Date,Notes.NGS,Cell_total,cells_per_tube,tubes_in_storage
MURI_062,NaCl_stress,1.30E+101,glucose + NaCl,5.5,9/17/13,JA14685,2.00E+10,2.00E+09,4
MURI_063,NaCl_stress,1.30E+201,glucose + NaCl,6,9/17/13,JA14685,9.30E+09,9.30E+08,4
MURI_064,NaCl_stress,1.30E+301,glucose + NaCl,8,9/17/13,JA14685,2.10E+10,2.10E+09,4
MURI_065,NaCl_stress,013S005,glucose + NaCl,28,9/18/13,JA14685,6.90E+09,6.90E+08,4
MURI_066,NaCl_stress,013S100,glucose + NaCl,28,9/18/13,JA14685,2.10E+10,2.10E+09,4
MURI_067,NaCl_stress,013S200,glucose + NaCl,28,9/18/13,JA14685,1.00E+10,1.00E+09,4
MURI_068,NaCl_stress,013S300,glucose + NaCl,28,11/18/13,SA14155,1.80E+10,1.80E+09,4
MURI_069,NaCl_stress,1.40E+06,glucose + NaCl,6,11/21/13,SA14155,4.20E+10,4.20E+09,4
MURI_070,NaCl_stress,1.40E+101,glucose + NaCl,6.5,11/21/13,SA14140,4.00E+10,4.00E+09,5
MURI_071,NaCl_stress,1.40E+201,glucose + NaCl,8,11/21/13,SA14155,4.30E+10,4.30E+09,5
MURI_072,NaCl_stress,1.40E+301,glucose + NaCl,10,11/21/13,SA14155,4.30E+10,4.30E+09,5
MURI_073,NaCl_stress,014S005,glucose + NaCl,29,11/22/13,SA14155,4.30E+10,4.30E+09,5
MURI_074,NaCl_stress,014S100,glucose + NaCl,29,11/22/13,SA14155,3.90E+10,3.90E+09,5
MURI_075,NaCl_stress,014S200,glucose + NaCl,29,11/22/13,SA14155,4.20E+10,4.20E+09,5
MURI_076,NaCl_stress,014S300,glucose + NaCl,29,11/22/13,SA14155,3.60E+10,3.60E+09,5
MURI_077,NaCl_stress,1.50E+06,glucose + NaCl,5.5,11/14/13,SA14155,3.60E+10,3.60E+09,5
MURI_078,NaCl_stress,1.50E+101,glucose + NaCl,7.5,11/14/13,JA14685,4.00E+10,4.00E+09,5
MURI_079,NaCl_stress,1.50E+201,glucose + NaCl,8,11/14/13,SA14140,3.90E+10,3.90E+09,5
MURI_080,NaCl_stress,1.50E+301,glucose + NaCl,10,11/14/13,SA14140,4.50E+10,4.50E+09,5
MURI_081,NaCl_stress,015S005,glucose + NaCl,29,11/15/13,SA14140,4.10E+10,4.10E+09,5
MURI_082,NaCl_stress,015S100,glucose + NaCl,29,11/15/13,SA14140,4.00E+10,4.00E+09,5
MURI_083,NaCl_stress,015S200,glucose + NaCl,29,11/15/13,SA14140,3.50E+10,3.50E+09,5
MURI_084,NaCl_stress,015S300,glucose + NaCl,29,11/15/13,SA14140,3.30E+10,3.30E+09,5
MURI_085,Lactate_growth,016E,lactate,9,10/10/13,SA14140,6.40E+09,6.40E+08,5
MURI_086,Lactate_growth,016S,lactate,29,10/11/13,SA14140,1.20E+10,1.20E+09,5
MURI_087,Lactate_growth,017E,lactate,8,10/16/13,SA14140,4.60E+09,4.60E+08,5
MURI_088,Lactate_growth,017S,lactate,29,10/17/13,SA14140,1.10E+10,1.10E+09,5
MURI_089,Lactate_growth,018E,lactate,9,10/18/13,SA14140,,,5
MURI_090,Lactate_growth,018S,lactate,29,10/19/13,SA14140,,,5
MURI_091,Gluconate_growth,019E,gluconate,6,10/10/13,SA14140,9.00E+09,9.00E+08,5
MURI_092,Gluconate_growth,019S,gluconate,27,10/11/13,SA14140,1.70E+10,1.70E+09,5
MURI_093,Gluconate_growth,020E,gluconate,5,10/16/13,JA14688,8.80E+09,8.80E+08,5
MURI_094,Gluconate_growth,020S,gluconate,27,10/17/13,SA14140,1.70E+10,1.70E+09,5
MURI_095,Gluconate_growth,021E,gluconate,6,10/18/13,SA14140,,,5
MURI_096,Gluconate_growth,021S,gluconate,27,10/19/13,SA14140,,,5
MURI_097,glucose_time_course,007R,glucose,3,11/5/13,SA14140,2.10E+10,2.10E+09,5
MURI_098,glucose_time_course,007R,glucose,4,11/5/13,SA14140,2.70E+10,2.70E+09,5
MURI_099,glucose_time_course,007R,glucose,5,11/5/13,SA14140,2.70E+10,2.70E+09,5
MURI_100,glucose_time_course,007R,glucose,6,11/5/13,SA14140,2.90E+10,2.90E+09,5
MURI_101,glucose_time_course,007R,glucose,8,11/5/13,SA14140,3.90E+10,3.90E+09,5
MURI_102,glucose_time_course,007R,glucose,24,11/6/13,SA14140,3.80E+10,3.80E+09,5
MURI_103,glucose_time_course,007R,glucose,48,11/7/13,JA13648,3.40E+10,3.40E+09,5
MURI_104,glucose_time_course,007R,glucose,168,11/12/13,JA13648,3.10E+10,3.10E+09,5
MURI_105,glucose_time_course,007R,glucose,336,11/19/13,JA13648,3.00E+10,3.00E+09,5
MURI_106,MgSO4_stress,022E0.08,glucose + MgSO4,5.5,12/11/13,JA14688,3.90E+10,3.90E+09,
MURI_107,MgSO4_stress,022E0.8,glucose + MgSO4,5.5,12/11/13,SA14140,4.40E+10,4.40E+09,
MURI_108,MgSO4_stress,2.20E+09,glucose + MgSO4,5.5,12/11/13,SA14140,4.60E+10,4.60E+09,
MURI_109,MgSO4_stress,2.20E+51,glucose + MgSO4,5,12/11/13,SA14140,3.40E+10,3.40E+09,
MURI_110,MgSO4_stress,2.20E+201,glucose + MgSO4,5,12/11/13,SA14140,3.20E+10,3.20E+09,
MURI_111,MgSO4_stress,022E400,glucose + MgSO4,7,12/11/13,SA14140,3.90E+10,3.90E+09,
MURI_112,MgSO4_stress,022S0.08,glucose + MgSO4,28,12/12/13,SA14140,3.90E+10,3.90E+09,
MURI_113,MgSO4_stress,022S0.8,glucose + MgSO4,28,12/12/13,SA14140,4.10E+10,4.10E+09,
MURI_114,MgSO4_stress,022S8,glucose + MgSO4,28,12/12/13,SA14140,4.40E+10,4.40E+09,
MURI_115,MgSO4_stress,022S50,glucose + MgSO4,28,12/12/13,SA14140,4.20E+10,4.20E+09,
MURI_116,MgSO4_stress,022S200,glucose + MgSO4,28,12/12/13,SA14140,4.40E+10,4.40E+09,
MURI_117,MgSO4_stress,022S400,glucose + MgSO4,28,12/12/13,SA14140,3.30E+10,3.30E+09,
MURI_118,MgSO4_stress,023E0.08,glucose + MgSO4,5.5,1/15/14,SA14140,3.20E+10,3.20E+09,
MURI_119,MgSO4_stress,023E0.8,glucose + MgSO4,5.5,1/15/14,SA14140,3.60E+10,3.60E+09,
MURI_120,MgSO4_stress,2.30E+09,glucose + MgSO4,5.5,1/15/14,SA14140,3.90E+10,3.90E+09,
MURI_121,MgSO4_stress,2.30E+51,glucose + MgSO4,5,1/15/14,SA14140,3.60E+10,3.60E+09,
MURI_122,MgSO4_stress,2.30E+201,glucose + MgSO4,5,1/15/14,SA14140,3.40E+10,3.40E+09,
MURI_123,MgSO4_stress,023E400,glucose + MgSO4,7,1/15/14,SA14140,3.70E+10,3.70E+09,
MURI_124,MgSO4_stress,023S0.08,glucose + MgSO4,28,1/16/14,JA14688,3.40E+10,3.40E+09,
MURI_125,MgSO4_stress,023S0.8,glucose + MgSO4,28,1/16/14,JA14688,3.80E+10,3.80E+09,
MURI_126,MgSO4_stress,023S8,glucose + MgSO4,28,1/16/14,JA14688,4.00E+10,4.00E+09,
MURI_127,MgSO4_stress,023S50,glucose + MgSO4,28,1/16/14,SA14140,4.20E+10,4.20E+09,
MURI_128,MgSO4_stress,023S200,glucose + MgSO4,28,1/16/14,SA14140,4.30E+10,4.30E+09,
MURI_129,MgSO4_stress,023S400,glucose + MgSO4,28,1/16/14,SA14140,3.30E+10,3.30E+09,
MURI_130,MgSO4_stress,024E0.08,glucose + MgSO4,5.5,1/30/14,SA14140,3.20E+10,3.20E+09,
MURI_131,MgSO4_stress,024E0.8,glucose + MgSO4,5.5,1/30/14,SA14140,3.60E+10,3.60E+09,
MURI_132,MgSO4_stress,2.40E+09,glucose + MgSO4,5.5,1/30/14,SA14140,3.90E+10,3.90E+09,
MURI_133,MgSO4_stress,2.40E+51,glucose + MgSO4,5,1/30/14,SA14140,3.20E+10,3.20E+09,
MURI_134,MgSO4_stress,2.40E+201,glucose + MgSO4,5,1/30/14,,3.10E+10,3.10E+09,
MURI_135,MgSO4_stress,024E400,glucose + MgSO4,7,1/30/14,,3.50E+10,3.50E+09,
MURI_136,MgSO4_stress,024S0.08,glucose + MgSO4,28,1/31/14,,3.70E+10,3.70E+09,
MURI_137,MgSO4_stress,024S0.8,glucose + MgSO4,28,1/31/14,,4.00E+10,4.00E+09,
MURI_138,MgSO4_stress,024S8,glucose + MgSO4,28,1/31/14,,4.00E+10,4.00E+09,
MURI_139,MgSO4_stress,024S50,glucose + MgSO4,28,1/31/14,,4.10E+10,4.10E+09,
MURI_140,MgSO4_stress,024S200,glucose + MgSO4,28,1/31/14,SA14140,4.30E+10,4.30E+09,
MURI_141,MgSO4_stress,024S400,glucose + MgSO4,28,1/31/14,SA14140,2.90E+10,2.90E+09,
MURI_142,MgSO4_stress,2.50E+06,glucose + MgSO4,5,6/17/14,,,,
MURI_143,MgSO4_stress,2.50E+11,glucose + MgSO4,5.5,6/17/14,,,,
MURI_144,MgSO4_stress,2.50E+21,glucose + MgSO4,5.5,6/17/14,,,,
MURI_145,MgSO4_stress,2.50E+41,glucose + MgSO4,5.5,6/17/14,,,,
MURI_146,MgSO4_stress,2.50E+81,glucose + MgSO4,5.5,6/17/14,,,,
MURI_147,MgSO4_stress,025S05,glucose + MgSO4,26,6/18/14,SA14155,,,
MURI_148,MgSO4_stress,025S10,glucose + MgSO4,26,6/18/14,,,,
MURI_149,MgSO4_stress,025S20,glucose + MgSO4,26,6/18/14,SA14155,,,
MURI_150,MgSO4_stress,025S40,glucose + MgSO4,26,6/18/14,SA14155,,,
MURI_151,MgSO4_stress,025S80,glucose + MgSO4,26,6/18/14,SA14140,,,
MURI_152,MgSO4_stress,2.60E+06,glucose + MgSO4,5,6/24/14,SA14140,,,
MURI_153,MgSO4_stress,2.60E+11,glucose + MgSO4,5.5,6/24/14,,,,
MURI_154,MgSO4_stress,2.60E+21,glucose + MgSO4,5.5,6/24/14,,,,
MURI_155,MgSO4_stress,026E40æ,glucose + MgSO4,5.5,6/24/14,,,,
MURI_156,MgSO4_stress,026E80æ,glucose + MgSO4,5.5,6/24/14,,,,
MURI_157,MgSO4_stress,026S05æ,glucose + MgSO4,26,6/25/14,,,,
MURI_158,MgSO4_stress,026S10æ,glucose + MgSO4,26,6/25/14,,,,
MURI_159,MgSO4_stress,026S20æ,glucose + MgSO4,26,6/25/14,,,,
MURI_160,MgSO4_stress,026S40æ,glucose + MgSO4,26,6/25/14,,,,
MURI_161,MgSO4_stress,026S80æ,glucose + MgSO4,26,6/25/14,,,,
MURI_162,MgSO4_stress,027E05æ,glucose + MgSO4,5,6/28/14,,,,
MURI_163,MgSO4_stress,027E10æ,glucose + MgSO4,5.5,6/28/14,,,,
MURI_164,MgSO4_stress,027E20æ,glucose + MgSO4,5.5,6/28/14,,,,
MURI_165,MgSO4_stress,027E40æ,glucose + MgSO4,5.5,6/28/14,,,,
MURI_166,MgSO4_stress,027E80æ,glucose + MgSO4,5.5,6/28/14,,,,
MURI_167,MgSO4_stress,027S05æ,glucose + MgSO4,26,6/29/14,,,,
MURI_168,MgSO4_stress,027S10æ,glucose + MgSO4,26,6/29/14,,,,
MURI_169,MgSO4_stress,027S20æ,glucose + MgSO4,26,6/29/14,,,,
MURI_170,MgSO4_stress,027S40æ,glucose + MgSO4,26,6/29/14,,,,
MURI_171,MgSO4_stress,027S80æ,glucose + MgSO4,26,6/29/14,,,,
